NABP,NPI,PROVIDER NAME,ADDRESS,ADDRESS LINE 2,CITY,STATE,POSTAL_ZIP,PHONE,COUNTY,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract)
3310858,1538263389,CVS PHARMACY #00413,1026 MADISON AVE,,ALBANY,NY,12208,401-770-2751,ALBANY,42.664736,-73.788921,1,range_interpolation,1026,Madison Ave,,,Albany,NY,12208,US,TIGER/Line® dataset from the US Census Bureau,2021,36,36001,Albany,3601000,1700,1000,1,3.60E+14,36001001700
3398903,1023112794,CVS PHARMACY #00778,1170 WESTERN AVENUE,,ALBANY,NY,12203,401-770-2751,ALBANY,42.676301,-73.823729,1,rooftop,1170,Western Ave,,,Albany,NY,12203,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,1802,3003,3,3.60E+14,36001001802
5801988,1740590058,PHARMERICA,12 INTERSTATE AVE,,ALBANY,NY,12205,518-452-7795,ALBANY,42.694233,-73.814597,1,rooftop,12,Interstate Ave,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Roessleville,3663363,14001,1001,1,3.60E+14,36001014001
5804554,1891071098,CORAM CVS/SPECIALTY INFUSION SERVICES,12 JUPITER LANE,,ALBANY,NY,12205,518-869-2900,ALBANY,42.716352,-73.842179,1,rooftop,12,Jupiter Ln,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Colonie,3617332,13901,2004,2,3.60E+14,36001013901
3316583,1629178074,RITE AID PHARMACY 10691,1225 WESTERN AVENUE,,ALBANY,NY,12203,717-975-5937,ALBANY,42.677311,-73.823197,1,rooftop,1225,Western Ave,,,Albany,NY,12203,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,403,4013,4,3.60E+14,36001000403
3345685,1053338285,WALMART PHARMACY 10-2152,141 WASHINGTON AVE EXTENSION,,ALBANY,NY,12205,479-277-2500,ALBANY,42.694776,-73.847027,1,rooftop,141,Washington Avenue Ext,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,401,1029,1,3.60E+14,36001000401
3314250,1952323586,CVS PHARMACY #16615,1440 CENTRAL AVE,,ALBANY,NY,12205,401-770-2751,ALBANY,42.70573,-73.825197,0.99,rooftop,1440 A,Central Ave,,,Albany,NY,12205,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Roessleville,3663363,14001,2001,2,3.60E+14,36001014001
3314971,1487757217,CVS PHARMACY #05030,1475 WESTERN AVE,,ALBANY,NY,12203,401-770-2751,ALBANY,42.682525,-73.838447,1,rooftop,1475,Western Ave,,,Albany,NY,12203,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,,,14608,1003,1,3.60E+14,36001014608
3381643,1508960261,CVS PHARMACY #00680,153 CENTRAL AVENUE,,ALBANY,NY,12206,401-770-2751,ALBANY,42.66118,-73.767728,1,rooftop,153,Central Ave,,,Albany,NY,12206,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,800,3003,3,3.60E+14,36001000800
5800885,1518273481,CVS PHARMACY #00134,16 NEW SCOTLAND AVENUE,,ALBANY,NY,122083555,518-434-0677,ALBANY,42.653443,-73.773322,1,rooftop,16,New Scotland Ave,,,Albany,NY,12208,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36001,Albany,3601000,2100,1002,1,3.60E+14,36001002100
