,full_fips_tract,num_pharmacies,majority_white,majority_black,majority_hispanic,majority_native,majority_asian,integrated,NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B03001_003E,B16004_046E,B01001_001E,state,county,tract,tract_code,pharmacies_per_1000
0,36001000100,0,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 1, Albany County, New York",481.0,1141.0,28.0,99.0,217.0,280.0,2029.0,36,001,000100,001000100,0.0
1,36001000201,0,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 2.01, Albany County, New York",643.0,2230.0,0.0,89.0,152.0,204.0,3263.0,36,001,000201,001000201,0.0
2,36001000202,1,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 2.02, Albany County, New York",86.0,1968.0,0.0,0.0,64.0,138.0,2153.0,36,001,000202,001000202,0.46446818392940087
3,36001000301,0,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 3.01, Albany County, New York",847.0,1116.0,0.0,393.0,978.0,229.0,3016.0,36,001,000301,001000301,0.0
4,36001000302,1,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 3.02, Albany County, New York",1936.0,469.0,0.0,257.0,65.0,595.0,2931.0,36,001,000302,001000302,0.34118048447628796
5,36001000401,1,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 4.01, Albany County, New York",2017.0,234.0,0.0,13.0,77.0,1062.0,2336.0,36,001,000401,001000401,0.4280821917808219
6,36001000403,2,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 4.03, Albany County, New York",2869.0,458.0,0.0,342.0,233.0,624.0,4014.0,36,001,000403,001000403,0.4982561036372695
7,36001000404,0,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 4.04, Albany County, New York",3107.0,1035.0,0.0,333.0,966.0,13.0,5045.0,36,001,000404,001000404,0.0
8,36001000501,0,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 5.01, Albany County, New York",1603.0,1229.0,31.0,142.0,712.0,453.0,3410.0,36,001,000501,001000501,0.0
9,36001000502,0,1.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 5.02, Albany County, New York",2253.0,738.0,9.0,465.0,476.0,156.0,3926.0,36,001,000502,001000502,0.0
